Milliseconds;Rssi;Signal_X;Signal_Y;Signal_Z;Position_X;Position_Y;Position_Z
0;-97;-0,1;-16,4;1,7;0,0;0,0;1,5
0;-98;-7,3;-17,3;1,8;0,0;0,0;1,5
0;-96;-11,3;-11,3;1,7;0,0;0,0;1,5
0;-90;3,4;-11,9;5,1;0,0;0,0;1,5
0;-79;7,7;-4,3;4;0,0;0,0;1,5
0;-75;-5;-4,3;5,1;0,0;0,0;1,5
50;-97;7,3;-15,8;1,8;0,0;0,0;1,5
50;-85;0,2;-11,2;1,7;0,0;0,0;1,5
50;-98;-13,3;-11,7;4,1;0,0;0,0;1,5
50;-95;-7,2;-11,9;5,1;0,0;0,0;1,5
50;-96;6,7;-14,5;-0,4;0,0;0,0;1,5
100;-96;-4,3;-16,4;1,7;0,0;0,0;1,5
100;-98;3;-17,3;1,8;0,0;0,0;1,5
100;-99;-11,5;-15,8;4;0,0;0,0;1,5
100;-96;1;-15,7;5,1;0,0;0,0;1,5
100;-85;0,2;-11,2;1,7;0,0;0,0;1,5
100;-92;-7,2;-11,9;5,1;0,0;0,0;1,5
150;-98;-4,3;-16,4;1,7;0,0;0,0;1,5
150;-96;-11,3;-11,3;1,7;0,0;0,0;1,5
150;-99;-13,3;-11,7;4,1;0,0;0,0;1,5
150;-65;-3,8;-3,7;1,7;0,0;0,0;1,5
150;-56;0,5;-3,6;1,7;0,0;0,0;1,5
150;-79;-7,5;-4,3;4,1;0,0;0,0;1,5
150;-93;-11,3;-8,9;1,7;0,0;0,0;1,5
150;-90;-12,3;-5,6;-0,4;0,0;0,0;1,5
150;-87;-7,1;9,2;1,7;0,0;0,0;1,5
200;-96;-0,1;-16,4;1,7;0,0;0,0;1,5
200;-99;3;-17,3;1,8;0,0;0,0;1,5
200;-96;-5;-15,8;5,1;0,0;0,0;1,5
200;-96;1;-15,7;5,1;0,0;0,0;1,5
200;-97;-11,3;-11,3;1,7;0,0;0,0;1,5
200;-87;0,2;-11,2;1,7;0,0;0,0;1,5
200;-94;-7,2;-11,9;5,1;0,0;0,0;1,5
200;-88;3,4;-11,9;5,1;0,0;0,0;1,5
200;-97;6,7;-14,5;-0,4;0,0;0,0;1,5
250;-98;-11,3;-15,7;1,8;0,0;0,0;1,5
250;-97;-4,3;-16,4;1,7;0,0;0,0;1,5
250;-95;1;-15,7;5,1;0,0;0,0;1,5
250;-96;-11,3;-11,3;1,7;0,0;0,0;1,5
250;-87;-4;-11,2;1,7;0,0;0,0;1,5
250;-94;-7,2;-11,9;5,1;0,0;0,0;1,5
250;-87;0,3;-11,9;5,1;0,0;0,0;1,5
300;-97;-4,3;-16,4;1,7;0,0;0,0;1,5
300;-97;7,3;-15,8;1,8;0,0;0,0;1,5
300;-99;-11,5;-15,8;4;0,0;0,0;1,5
300;-96;-7,4;-15,8;4;0,0;0,0;1,5
300;-98;-13,3;-11,7;4,1;0,0;0,0;1,5
300;-75;-7;-2,8;1,8;0,0;0,0;1,5
300;-76;7,4;-2,8;4;0,0;0,0;1,5
300;-79;0,2;-8,9;1,7;0,0;0,0;1,5
300;-78;-6,3;-5,6;-0,4;0,0;0,0;1,5
350;-96;-4,3;-16,4;1,7;0,0;0,0;1,5
350;-98;7,7;-15,7;4;0,0;0,0;1,5
350;-99;7,2;-17,2;4,1;0,0;0,0;1,5
350;-95;-11,3;-11,3;1,7;0,0;0,0;1,5
350;-88;-4;-11,2;1,7;0,0;0,0;1,5
350;-86;0,2;-11,2;1,7;0,0;0,0;1,5
350;-95;-6,3;-14,5;-0,4;0,0;0,0;1,5
350;-56;0,5;-3,6;1,7;0,0;0,0;1,5
350;-87;-11,1;-2,8;4;0,0;0,0;1,5
